code,name,stock_price,expectd_value,EPS,BPS,PER,industry_PER,PBR,dividend_yield
054050,농우바이오,10200,8666,436,14399,23.41,N/A,0.71,1.96%
054090,삼진엘앤디,1930,2293,23,3797,82.95,153.45,0.51,3.89%
054180,중앙오션,1400,-1127,-135,756,N/A,N/A,1.85,0.00%
054210,이랜텍,4120,5009,571,7484,7.22,23.08,0.55,2.43%
054220,비츠로시스,485,-2546,-822,15,N/A,17.66,33,
054300,팬스타엔터프라이즈,845,485,17,822,51.18,10.36,1.03,
054340,피앤텔,668,-13726,1290,1763,0.52,23.08,0.38,
054410,케이피티유,3160,5493,-151,6500,N/A,16.1,0.49,
054450,텔레칩스,8090,9164,616,8210,13.14,16.12,0.99,1.48%
054540,삼영엠텍,3400,3665,269,6081,12.65,N/A,0.56,2.94%
054620,APS홀딩스,7830,3722,-130,11675,N/A,153.45,0.67,
054630,에이디칩스,877,-396,-393,683,N/A,N/A,1.28,
054670,대한뉴팜,9790,14155,1062,4351,9.22,121.34,2.25,
054780,키이스트,2860,23,-485,2552,N/A,N/A,1.12,0.00%
054800,아이디스홀딩스,12400,81069,-1078,22650,N/A,25.96,0.55,1.61%
054920,한컴위드,2550,1854,1903,4404,1.34,56.92,0.58,
054930,유신,15950,-19529,-2050,27126,N/A,5.83,0.59,
054940,엑사이엔씨,1145,1290,-11,1570,N/A,16.12,0.73,
054950,제이브이엠,19650,20549,916,21173,21.45,46.66,0.93,2.04%
056000,네스엠,3190,-1134,-240,1229,N/A,36.04,2.6,0.00%
056080,유진로봇,2150,-1594,-474,1385,N/A,15.74,1.55,
056090,유앤아이,4130,-3142,-244,4962,N/A,46.66,0.83,
056190,에스에프에이,34300,68276,3676,26125,9.33,N/A,1.31,3.08%
056360,코위버,10050,11262,2107,12694,4.77,58.75,0.79,1.99%
056700,신화인터텍,2360,1038,325,3329,7.26,153.45,0.71,2.12%
056730,포스링크,1460,-1249,-481,182,N/A,N/A,8.04,
057030,YBM넷,6570,698,109,2604,60.09,N/A,2.52,
057500,SKC솔믹스,2800,1558,6,1560,432.12,16.12,1.8,
057540,옴니시스템,1825,770,463,2328,3.94,25.96,0.78,
057680,옴니텔,1330,801,53,894,24.98,141.68,1.49,
057880,필로시스헬스케어,1585,-1208,-650,548,N/A,N/A,2.89,0.00%
058110,멕아이씨에스,16400,-4066,-267,754,N/A,46.66,21.74,0.00%
058220,아리온,275,-1174,-208,523,N/A,N/A,0.53,0.00%
058400,KNN,1075,1112,61,1479,17.68,N/A,0.73,1.86%
058420,제이웨이,1065,-426,-164,619,N/A,N/A,1.72,0.00%
058450,일야,1035,-3518,-171,544,N/A,23.08,1.9,0.00%
058470,리노공업,80200,52538,3463,19776,23.16,16.12,4.06,1.50%
058530,슈펙스비앤피,320,-970,-357,541,N/A,N/A,0.59,
058610,에스피지,5210,5426,356,6589,14.64,46.17,0.79,1.92%
058630,엠게임,3785,3272,406,2050,9.32,36.04,1.85,
058820,CMG제약,4035,1185,24,1297,166.21,121.34,3.11,
059090,미코,8800,9686,254,3005,34.62,16.12,2.93,0.45%
059100,아이컴포넌트,3995,-3015,-176,4089,N/A,153.45,0.98,
059120,아진엑스텍,6170,8779,356,6617,17.31,16.12,0.93,1.62%
059210,메타바이오메드,2460,710,140,2289,17.54,46.66,1.07,0.41%
060150,인선이엔티,7330,5588,441,5361,16.63,23.63,1.37,
060230,이그잭스,2030,530,-14,769,N/A,25.96,2.64,0.00%
060240,룽투코리아,4465,2486,67,2898,66.92,36.04,1.54,
060250,NHN한국사이버결제,35950,13594,1069,5865,33.64,17.66,6.13,0.64%
060260,뉴보텍,1215,211,65,832,18.62,661.11,1.46,
060280,큐렉소,4065,-99,-777,1318,N/A,N/A,3.08,
060300,레드로버,610,-5148,-2039,104,N/A,N/A,5.86,0.00%
060310,3S,2385,200,60,786,39.73,N/A,3.03,0.00%
060370,KT서브마린,3890,-849,22,4987,175.28,5.83,0.78,0.77%
060380,동양에스텍,2540,1333,195,5254,13.03,11.87,0.48,3.94%
060480,국일신동,3285,1977,-9,4269,N/A,16.1,0.77,1.52%
060540,에스에이티,1780,3264,355,3231,5.02,23.08,0.55,2.81%
060560,홈센타홀딩스,1125,-1562,-23,942,N/A,81.51,1.19,
060570,드림어스컴퍼니,5040,-1091,-858,2074,N/A,N/A,2.43,
060590,씨티씨바이오,7070,-4059,-711,3926,N/A,121.34,1.8,
060720,KH바텍,19100,4928,-542,8359,N/A,23.08,2.29,0.00%
060900,케이알피앤이,762,-637,-106,188,N/A,28.46,4.05,0.00%
061040,알에프텍,6210,9352,-88,6322,N/A,23.08,0.98,
061250,화일약품,9040,7181,221,7280,40.92,121.34,1.24,1.38%
061970,엘비세미콘,6810,3447,744,3419,9.15,16.12,1.99,0.73%
062860,티엘아이,4780,-4411,139,9261,34.42,153.45,0.52,2.09%
062970,피피아이,8650,3713,338,2409,25.56,58.75,3.59,
063080,게임빌,23500,14177,2057,39066,11.42,36.04,0.6,
063170,서울옥션,4410,853,-395,4344,N/A,N/A,1.02,
063440,SMLifeDesign,1560,603,-67,1084,N/A,N/A,1.44,
063570,한국전자금융,6130,2920,132,5158,46.32,17.66,1.19,1.79%
063760,이엘피,8080,27822,830,14731,9.74,153.45,0.55,1.49%
064090,에프앤리퍼블릭,579,-629,-706,423,N/A,43.2,1.37,0.00%
064240,홈캐스트,3540,-248,-309,2135,N/A,N/A,1.66,
064260,다날,4045,2972,418,3282,9.69,17.66,1.23,0.00%
064290,인텍플러스,7810,1997,434,1790,18.01,16.12,4.36,0.00%
064480,브리지텍,2380,350,-266,2755,N/A,17.66,0.86,4.20%
064510,에코마이스터,2260,-7266,-724,973,N/A,N/A,2.32,0.00%
064520,바른전자,1210,-3336,-12211,769,N/A,16.12,1.57,
064550,바이오니아,11150,-4587,-349,1355,N/A,N/A,8.23,
064760,티씨케이,73500,59362,4011,18883,18.32,16.12,3.89,1.22%
064800,필링크,1075,1615,52,1839,20.84,17.07,0.58,0.93%
064820,케이프,3510,-902,260,5801,13.49,N/A,0.61,
065060,지엔코,1445,-588,-240,933,N/A,17.07,1.55,
065130,탑엔지니어링,9860,35638,2259,13333,4.36,153.45,0.74,1.01%
065150,MP그룹,1315,-45,10,266,131.29,23.42,4.95,
065170,넥스트BT,1805,4,-191,734,N/A,121.34,2.46,0.00%
065350,신성델타테크,2695,1211,252,5444,10.7,15.74,0.5,2.97%
065370,위세아이텍,11850,6124,784,3255,15.11,17.72,3.64,0.42%
065420,에스아이리소스,639,203,-239,178,N/A,28.46,3.59,
065440,이루온,1445,967,20,1303,72.78,17.66,1.11,
065450,빅텍,2570,598,80,1550,32.31,17.69,1.66,
065500,오리엔트정공,303,-408,-34,425,N/A,10.36,0.71,
065510,휴비츠,7810,7888,663,7723,11.79,46.66,1.01,1.92%
065530,전파기지국,4260,-218,39,1519,108.74,16.23,2.81,1.17%
065560,녹원씨엔아이,5500,7662,-599,4422,N/A,N/A,1.24,
065570,삼영이엔씨,6040,3850,-1028,8544,N/A,N/A,0.71,
065620,제낙스,3190,-3991,-476,66,N/A,16.1,48.16,0.00%
065650,메디프론,3025,-4,-60,601,N/A,N/A,5.03,0.00%
065660,안트로젠,37600,3059,-457,7607,N/A,121.34,4.94,0.00%
065680,우주일렉트로,10900,15879,1187,22781,9.19,23.08,0.48,2.75%
065690,파커스,2075,1996,-255,6234,N/A,N/A,0.33,7.23%
065710,서호전기,19350,24896,2973,14555,6.51,56.92,1.33,6.20%
065770,CS,2480,1154,-28,1155,N/A,58.75,2.15,
065940,바이오빌,1635,-5667,-717,285,N/A,35.46,5.73,
065950,웰크론,7190,1796,-203,2182,N/A,5.83,3.29,
066110,한프,480,-2052,-589,588,N/A,N/A,0.82,0.00%
066130,하츠,5400,5320,185,6778,29.12,15.74,0.8,0.56%
066310,큐에스아이,15500,4069,133,6586,116.21,16.12,2.35,0.32%
066360,체리부로,2130,-7112,-703,3225,N/A,24.37,0.66,
066410,버킷스튜디오,1730,857,-134,1334,N/A,17.66,1.3,
066430,와이오엠,2260,-572,-2039,940,N/A,35.46,2.4,0.00%
066590,우수AMS,4010,-841,11,2445,351.1,10.36,1.64,
066620,국보디자인,14150,28505,2126,17405,6.66,5.83,0.81,2.12%
066670,디스플레이텍,3025,5424,289,8881,10.48,23.08,0.34,3.31%
066700,테라젠이텍스,10750,2505,1410,4446,7.62,121.34,2.42,
066790,씨씨에스,423,-142,-4,590,N/A,N/A,0.72,0.00%
066900,디에이피,2640,-529,44,5558,60.28,25.96,0.47,
066910,손오공,1995,-135,-77,912,N/A,N/A,2.19,
066970,엘앤에프,20600,-976,-363,6157,N/A,46.17,3.35,0.24%
066980,브레인콘텐츠,647,540,5,658,121.55,17.66,0.98,
067000,조이시티,10500,3360,-109,2356,N/A,36.04,4.46,0.00%
067010,이씨에스,3835,4458,224,3418,17.13,17.66,1.12,1.56%
067080,대화제약,10500,924,578,4630,18.15,121.34,2.27,1.43%
067160,아프리카TV,60300,32467,2990,10879,20.17,141.68,5.54,0.91%
067170,오텍,10500,18377,694,9875,15.12,15.74,1.06,1.24%
067280,멀티캠퍼스,32250,33050,3143,18618,10.26,N/A,1.73,1.86%
067290,JW신약,4675,176,35,1592,135.09,121.34,2.94,1.28%
067310,하나마이크론,4520,3612,-95,5342,N/A,16.12,0.85,1.11%
067390,아스트,4810,535,-33,7393,N/A,17.69,0.65,
067570,엔브이에이치코리아,2705,-8084,336,5200,8.04,10.36,0.52,1.85%
067630,에이치엘비생명과학,21200,3047,-171,7094,N/A,121.34,2.99,
067730,로지시스,2870,1457,-106,1676,N/A,17.66,1.71,2.09%
067770,세진티에스,2355,1946,-251,4519,N/A,153.45,0.52,
067900,와이엔텍,10700,7788,1012,7405,10.57,N/A,1.45,
067920,이글루시큐리티,4105,5502,187,4971,21.96,56.92,0.83,3.41%
067990,도이치모터스,6770,11160,2039,8847,3.32,N/A,0.77,
068050,팬엔터테인먼트,4185,-839,82,3478,50.75,N/A,1.2,
068240,다원시스,14950,2148,160,7927,93.47,25.96,1.89,0.67%
068330,일신바이오,2280,1406,105,937,21.67,873.47,2.43,0.31%
068760,셀트리온제약,70900,1494,240,7829,294.91,121.34,9.06,0.00%
068790,DMS,3805,10664,749,7509,5.08,153.45,0.51,1.97%
068930,디지털대성,7750,8059,662,4295,11.7,N/A,1.8,3.87%
068940,아이씨케이,2300,-228,0,492,10688.73,25.96,4.68,
069080,웹젠,16250,23099,1207,11420,13.47,36.04,1.42,
069110,코스온,5800,-809,-239,4779,N/A,43.2,1.21,
